Threshold,Precision,Recall
0.003960077865789085,0.04084084084084084,1.0
0.003962309273378094,0.040865384615384616,1.0
0.00397714771472734,0.040889957907396274,1.0
0.004048962718044597,0.04091456077015644,1.0
0.004056075860975142,0.040939193257074055,1.0
0.004090913809706869,0.04096385542168675,1.0
0.004091157763271687,0.040988547317661245,1.0
0.004094881006818326,0.04101326899879373,1.0
0.004100836253758225,0.04103802051901026,1.0
0.004143118643318701,0.04106280193236715,1.0
0.004145715879128362,0.04108761329305136,1.0
0.004146483769364734,0.041112454655380895,1.0
0.004155854431151358,0.0411373260738052,1.0
0.004181022942824419,0.04116222760290557,1.0
0.004187279029687992,0.04118715929739552,1.0
0.004206264036533077,0.041212121212121214,1.0
0.004209379571849199,0.041237113402061855,1.0
0.004226550920165927,0.0412621359223301,1.0
0.004270744785766412,0.041287188828172436,1.0
0.0042922571091154145,0.041312272174969626,1.0
0.004299760843414183,0.04133738601823708,1.0
0.004309972654609363,0.0413625304136253,1.0
0.0043493102118740004,0.041387705416920266,1.0
0.004376656887884419,0.04141291108404385,1.0
0.004395849236276927,0.04143814747105423,1.0
0.004414889329505387,0.041463414634146344,1.0
0.004466655647236343,0.04148871262965223,1.0
0.004466683376265485,0.04151404151404151,1.0
0.004491689856901094,0.04153940134392181,1.0
0.004496815320049222,0.04156479217603912,1.0
0.00453132342295916,0.04159021406727829,1.0
0.004553426385993958,0.0416156670746634,1.0
0.004559956776319951,0.041641151255358236,1.0
0.004564845472193911,0.041666666666666664,1.0
0.004570524297294904,0.041692213366033105,1.0
0.004591145029984399,0.04171779141104295,1.0
0.004607354229207236,0.041743400859422956,1.0
0.004651473850046364,0.04176904176904177,1.0
0.004663292149198383,0.04179471419791026,1.0
0.00467638052331956,0.041820418204182044,1.0
0.004695123664934771,0.041846153846153845,1.0
0.004698397010199095,0.04187192118226601,1.0
0.0047179002027182134,0.041897720271102896,1.0
0.004721902099739178,0.04192355117139334,1.0
0.0047220747613941835,0.041949413942011106,1.0
0.004739831774650005,0.04197530864197531,1.0
0.00474141557054984,0.042001235330450894,1.0
0.00476266967164916,0.042027194066749075,1.0
0.004784756217071471,0.042053184910327765,1.0
0.004809718153883394,0.04207920792079208,1.0
0.004840859869975475,0.042105263157894736,1.0
0.004841667945614598,0.042131350681536554,1.0
0.004874423865411982,0.04215747055176689,1.0
0.00490748137173195,0.04218362282878412,1.0
0.004908708156332675,0.04220980757293606,1.0
0.004926555078628308,0.0422360248447205,1.0
0.0049333230690169925,0.04226227470478558,1.0
0.004937563707195,0.04228855721393035,1.0
0.004941974773822577,0.042314872433105166,1.0
0.004947241377027265,0.04234122042341221,1.0
0.004947273095256524,0.04236760124610592,1.0
0.004948563831232812,0.04239401496259352,1.0
0.004953210812918562,0.042420461634435434,1.0
0.004971590958562321,0.04244694132334582,1.0
0.004990013649387091,0.042473454091193005,1.0
0.005074481989923198,0.0425,1.0
0.005080752643444494,0.04252657911194497,1.0
